,no_bathroom,condition,district,price,no_rooms,ref,estate_type,area,altitude,energy_efficiency,longitude,area_total,area_usage
1275,,Usado,Alvalade,170000.0,,265180060,Loja,Alvalade,-9.093761,C,38.76787,66.0,62.0
1277,4.0,Construção,Alvalade,1290000.0,4.0,265180069,Apartamento,,-9.093761,A,38.76787,188.0,188.0
1278,4.0,Construção,Alvalade,1595000.0,4.0,265180074,Duplex,,-9.093761,A,38.76787,238.0,238.0
1279,2.0,Construção,Alvalade,695000.0,2.0,265180075,Duplex,,-9.093761,A,38.76787,109.0,109.0
1280,2.0,Construção,Alvalade,695000.0,2.0,265180076,Duplex,,-9.093761,A,38.76787,109.0,109.0
1281,4.0,Construção,Alvalade,1495000.0,4.0,265180077,Duplex,Campo Grande,-9.093761,A,38.76787,221.0,221.0
1282,3.0,Construção,Alvalade,975000.0,2.0,265180078,Duplex,,-9.093761,A,38.76787,147.0,147.0
1283,3.0,Construção,Alvalade,1020000.0,3.0,265180079,Apartamento,,-9.093761,A,38.76787,168.68,146.0
1284,3.0,Construção,Alvalade,930000.0,3.0,265180080,Apartamento,,-9.093761,,38.76787,148.38,131.0
1285,3.0,Construção,Alvalade,1030000.0,3.0,265180081,Apartamento,,-9.093761,A,38.76787,160.0,160.0
1286,3.0,Construção,Alvalade,930000.0,3.0,265180082,Apartamento,,-9.093761,A,38.76787,140.0,140.0
1287,3.0,Construção,Alvalade,930000.0,3.0,265180083,Apartamento,,-9.093761,A,38.76787,137.0,137.0
1288,3.0,Construção,Alvalade,1030000.0,3.0,265180084,Apartamento,,-9.093761,A,38.76787,161.0,161.0
1289,3.0,Novo,Alvalade,1085000.0,3.0,265180092,Apartamento,,-9.093761,A,38.76787,159.0,159.0
1290,3.0,Construção,Alvalade,975000.0,3.0,265180093,Apartamento,,-9.093761,A,38.76787,137.0,137.0
1291,3.0,Construção,Alvalade,1085000.0,3.0,265180094,Apartamento,,-9.093761,A,38.76787,159.0,159.0
1292,1.0,Construção,Alvalade,425000.0,1.0,265180102,Apartamento,,-9.093761,,38.76787,60.0,60.0
1293,2.0,Construção,Alvalade,470000.0,1.0,265180103,Apartamento,,-9.093761,A,38.76787,70.0,70.0
1294,2.0,Construção,Alvalade,420000.0,1.0,265180104,Apartamento,,-9.093761,,38.76787,78.0,78.0
1295,2.0,Construção,Alvalade,487500.0,1.0,265180105,Apartamento,,-9.093761,,38.76787,87.0,87.0
1296,,Usado,Alvalade,890000.0,,265180114,Loja,Alvalade,-9.093761,,38.76787,1000.0,800.0
1297,1.0,Construção,Alvalade,425000.0,1.0,265180118,Apartamento,,-9.093761,A,38.76787,60.0,58.0
1298,2.0,Construção,Alvalade,560000.0,1.0,265180119,Apartamento,,-9.093761,A,38.76787,82.0,80.0
1299,2.0,Construção,Alvalade,447500.0,1.0,265180120,Apartamento,,-9.093761,A,38.76787,74.0,74.0
1300,2.0,Construção,Alvalade,955000.0,2.0,265180121,Duplex,,-9.093761,A,38.76787,145.0,145.0
